,NUMERO DE PROCESO,Coordenadas,size
0,SINF-CONV-0008-22,,
1,SINF-CM-006-22,,
2,SINF-SAMC-004-22,,
3,SINF-CONV-041-24,,
4,SINF-CONV-0027-24,,
5,SINF-MC-004-24,,
6,SINF-MC-003-24,,
7,SINF-MC-002-24,,
8,SINF-SASI-001-24,,
9,SINF-MC-001-24,,
10,SINF-SAMC-001-24,,
11,SINF-SAMC-001-2025,,
12,SINF-SASI-002-2025,,
13,SINF-SAMC-003-2025,,
14,SINF-SAMC-005-2025,,
15,SINF-SAMC-007-2025,,
16,SINF-LP-002-2025,,
17,SINF-SAMC-006-2025,,
18,SINF-MC-001-2025,,
19,SINF-LP-001-2025,,
20,SINF-CTRANSF-005-2025,,
21,SINF-CTRANSF-004-2025,,
22,SINF-CTRANSF-003-2025,,
23,SINF-CTRANSF-002-2025,,
24,SINF-CTRANSF-001-2025,,
25,SINF-LP-003-2025,,
26,SINF-SAMC-004-2025,,
27,SINF-ME-001-2025,,
28,SINF-ME-003-2025,,
29,SINF-ME-004-2025,,
30,SINF-ME-005-2025,,
31,SINF-ME-006-2025,,
32,SINF-ME-007-2025,,
33,SINF-ME-008-2025,,
34,SINF-CMA-001-25,,
35,SINF-CMA-002-25,,
36,SINF-CMA-003-25,,
37,SINF-SAMC-008-2025,,
38,SINF-MC-004-23,,
39,SINF-MC-003-23,,
40,SINF-CM-007-23,,
41,SINF-MC-002-23,,
42,SINF-CM-006-23,,
43,SINF-LP-004-23,,
44,SINF-CM-005-23,,
45,SINF-CM-004-23,,
46,SINF-LP-003-23,,
47,SINF-SASI-001-23,,
48,SINF-CM-003-23,,
49,SINF-LP-002-23,,
50,SINF-CALPUB-003-23,,
51,SINF-CM-002-23,,
52,SINF-CALPUB-002-23,,
53,SINF-LP-001-23,,
54,SINF-MC-001-23,,
55,SINF-CM-001-23,,
56,SINF-CALPUB-001-23,,
57,SINF-SAMC-006-22,,
58,SINF-CONV-035-25,,
59,SINF-CONV-032-2025,,
60,SINF-CONV-002-24,"6°56'18.0""N 73°00'38.1""W,",25.0
61,SINF-CONV-003-24,"6°58'37.4""N 72°57'23.8""W",24.0
62,SINF-CONV-006-24,,
63,SINF-CONV-008-24,"6°56'20.5""N 73°02'43.4""W",24.0
64,SINF-CONV-007-24,"6°56'30.7""N 73°02'40.9""W",24.0
65,SINF-CONV-015-24,"6°58'10.3""N 73°02'03.4""W,",25.0
66,SINF-CONV-004-24,"6°59'46.2""N 72°57'10.7""W",24.0
67,SINF-CONV-011-24,"6°57'01.4""N 73°00'08.7""W",24.0
68,SINF-CONV-005-24,"7°05'19.7""N 73°00'30.2""W ; 7°05'18.7""N 73°00'32.1""W,",52.0
69,SINF-CONV-017-24,,
70,SINF-CONV-018-24,"7°0'39.100""N 73°2'46.115""W",26.0
71,SINF-CONV-012-24,"6°56'06.9""N 73°00'50.2""W,",25.0
72,SINF-CONV-001-2024,"6°55'29.7""N 73°00'19.0""W,",25.0
73,SINF-CONV-041-24,"6°57'24.29460""N 73°0'40.54920""W",31.0
74,SINF-CONV-029-24,"6°56'58.08200""N 73°1'23.56170""W",31.0
75,SINF-CONV-030-24,"7°02'37.9""N 73°00'15.0""W",24.0
76,SINF-CONV-039-24,"7°3'7.03370""N  73°1'1.92020""W",29.0
77,SINF-CONV-044-24,"6°58'05.4""N 72°57'48.6""W",24.0
78,SINF-CONV-033-24,"6°69'35.15""N  73°25'44""W",24.0
79,SINF-CONV-040-24,"6°55'50.6""N 73°02'17.1""W",24.0
80,SINF-CONV-034-24,"7°00'35.7""N 73°01'05.2""W",24.0
81,SINF-CONV-031-24,"7°02'19.0""N  73°02'38.5""W.",26.0
82,SINF-CONV-032-24,"6°58'6.41990""N 72°58'33.15020""W",31.0
83,SINF-CONV-038-24,"6°53'29.0""N 73°03'56.9""W",24.0
84,SINF-CONV-036-24,"7°1'59.93"" N 73°02'30.70"" W",27.0
85,SINF-CONV-037-24,"7°1'59.93"" N 73°02'30.70"" W",27.0
86,SINF-CONV-023-24,"6°55'03.1""N 73°04'21.6""W",24.0
87,SINF-CONV-042-24,"6°54'50.77010""N 73°1'18.89040""W",31.0
88,SINF-CONV-019-24,"6°53'59.9""N 73°04'22.7""W",24.0
89,SINF-CONV-043-24,"7°00'06,3""N 73°02'36.3""W",24.0
90,SINF-CONV-035-24,"7°00'30.6""N 72°59'43.0""W",24.0
91,SINF-CONV-013-24,"6°56'58.1""N 73°01'23.6""W ",25.0
92,SINF-CONV-014-24,,
93,SINF-CONV-004-2025,N.A,3.0
94,SINF-CONV-017-2025,"6°57'518.90""N 72°57'59.90""W",27.0
95,SINF-CONV-006-2025,"6°57'1.99110""N72°59'8.81830""W",29.0
96,SINF-CONV-015-2025,"6°57'15.90""N 73°5'48.81""W ; 6°57'15.900""N 73°5'31.56""W",54.0
97,SINF-CONV-016-2025,"7°1'8.40""N 73°1'56.30""W",23.0
98,SINF-CONV-018-2025,"N 6°59’51.57530” W 72°59’19.20240”
",35.0
99,"SINF-CONV-024-2025 tiene asociado CO1.PCCNTR.7940417 y no se encuentra información del contrato en detalle
SINF-CONV-0024-2025 tiene asociado CO1.PCCNTR.79491135  tiene detalles.  
Sin embargo, en las hojas de convenios está cruzado 024 con 1135
Anllie dice que es el 024. Se validará también con el abogado","6°57'38.48""N 73°3'46.53""W",25.0
100,SINF-CONV-023-2025,"7°1'57.82870""N 72°59'52.551060""W",32.0
101,SINF-CONV-022-2025,"6°52'54.36""N 72°59'56.21""W",26.0
102,SINF-CONV-019-2025,N-A,3.0
103,SINF-CONV-010-2025,"6°58'14.94280""N 72°59'41.16130""W",32.0
104,SINF-CONV-001-2025,"6°58'51.74120""N73°0'50.98680""W",30.0
105,SINF-CONV-013-2025,"N 7°00'30.4"" W 73°00'12.9""",26.0
106,SINF-CONV-002-2025,"N 6°55'6.41560"" W 72°58'39.43220""",33.0
107,SINF-CONV-021-2025,"N 6°53'4.30680"" W 72°57'55.60900""",33.0
108,SINF-CONV-025-2025,"6°51'03.00""N 72°55'21.7""W",25.0
109,SINF-CONV-012-2025,"7°02'34.2""N 73°03'18.52W",24.0
110,SINF-CONV-009-2025,"6°59'47.7""N 73°04'49.2""W",24.0
111,SINF-CONV-026-2025,"7°00'14.8""N 73°05'47.6""W",24.0
112,SINF-CONV-020-2025,"7°00'29.6""N73°06'20.4""W ; 7°00´24.9""N73°06'19.1""W",49.0
113,SINF-CONV-011-2025,"7°1'40.00""N 73°4'7.80""W",23.0
114,SINF-CONV-003-2025,"6°58'48.5""N 73°03'16.2""W",24.0
115,SINF-CONV-007-2025,"6°58'48.48440""N 73°3'16.14890""W",32.0
116,SINF-CONV-014-2025,"6°57'00.3""N 73°01'03.5""W",24.0
117,SINF-CONV-027-2025,"6°59'29.5""N 73°01'17.1""W",24.0
118,SINF-CONV-008-2025,"6°57'20.9""N 73°03'14.1""W",24.0
119,SINF-CONV-005-2025,"6°56'53.3""N 73°04'50.0""W",24.0
120,SINF-CONV-034-2025,"6°59'03,30""N 72°59'47.0""W  ;6°59'03,30""N 72°59'48.1""W",53.0
121,SINF-CONV-033-25,"7°2'3.32""N 73°2'30.80""W ;  7°01'13.4""N 73°03'13.7""W",51.0
122,SINF-CONV-038-2025,,
123,SINF-CONV-037-25,,
124,SINF-CONV-029-2025,"7°00'09.7""N 73°03'00.7""W",24.0
125,SINF-CONV-028-2025,"6°59'51.2""N 73°03'40.8""W",24.0
126,SINF-CONV-0031-2025,"6°59'54.9""N 73°02'57.9""W",24.0
127,SINF-CONV-030-2025,"6°59'39.1""N 73°03'00.8""W",24.0
128,SINF-CONV-036-2025,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
